#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:00:000,Pose1,0.3,0,-0.39,0.39,0.8,0.8,1.4586,1.4586,-1.53,1.53,-1.35,1.35,0.2,-0.2,0.5,-0.5,1.3728,1.3728,0.73,-0.73,-1.76,-1.76,-0.73,-0.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:040,Pose2,*,*,*,*,*,*,*,*,*,1.46,*,*,*,*,*,-0.464,*,1.3328,*,*,*,*,-0.78,-0.78,*,*,*,*,*,*,*,*,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
00:00:080,Pose3,*,*,*,*,*,0.76,*,*,*,1.39,*,*,*,*,*,-0.428,*,1.2928,*,*,*,*,-0.83,-0.83,*,*,*,*,*,*,*,*,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00:00:120,Pose4,*,*,*,*,*,0.72,*,*,*,1.32,*,*,*,*,*,-0.392,*,1.2528,*,*,*,*,-0.88,-0.88,*,*,*,*,*,*,*,*,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
00:00:160,Pose5,*,*,*,*,*,0.68,*,*,*,1.25,*,*,*,*,*,-0.356,*,1.2128,*,*,*,*,-0.93,-0.93,*,*,*,*,*,*,*,*,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
00:00:200,Pose6,*,*,*,*,*,0.64,*,*,*,1.18,*,*,*,*,*,-0.32,*,1.1728,*,*,*,*,-0.98,-0.98,*,*,*,*,*,*,*,*,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
00:00:240,Pose7,*,*,*,*,*,0.6,*,*,*,1.11,*,*,*,*,*,-0.284,*,1.1328,*,*,*,*,-1.03,-1.03,*,*,*,*,*,*,*,*,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
00:00:280,Pose8,*,*,*,*,*,*,*,*,*,1.04,*,*,*,*,*,-0.248,*,1.0928,*,*,*,*,-1.08,-1.08,*,*,*,*,*,*,*,*,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
00:00:320,Pose9,*,*,*,*,*,*,*,*,*,0.97,*,*,*,*,*,-0.212,*,1.0528,*,*,*,*,-1.13,-1.13,*,*,*,*,*,*,*,*,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
00:00:360,Pose10,*,*,*,*,*,*,*,*,*,0.9,*,*,*,*,*,-0.176,*,1.0128,*,*,*,*,-1.145,-1.145,*,*,*,*,*,*,*,*,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
00:00:400,Pose11,*,*,*,*,*,*,*,*,*,0.83,*,*,*,*,*,-0.14,*,0.9728,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
00:00:440,Pose12,*,*,*,*,*,*,*,*,*,0.76,*,*,*,*,*,-0.104,*,0.9328,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
00:00:480,Pose13,*,*,*,*,*,*,*,*,*,0.69,*,*,*,*,*,-0.068,*,0.8928,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
00:00:520,Pose14,*,*,*,*,*,*,*,*,*,0.62,*,*,*,*,*,-0.032,*,0.8528,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
00:00:560,Pose15,*,*,*,*,*,*,*,*,*,0.55,*,*,*,*,*,0.004,*,0.8128,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
